"stat_property","month_edit","no_statement","no_claim","stat_claim_ratio"
"P674","2013-09",7,33,4.71428571428571
"P1963","2015-11",10,47,4.7
"P2176","2016-06",10,47,4.7
"P2417","2016-02",59,277,4.69491525423729
"P121","2013-04",61,286,4.68852459016393
"P180","2014-05",1123,5244,4.66963490650045
"P1075","2015-07",3,14,4.66666666666667
"P1963","2015-06",3,14,4.66666666666667
"P2650","2016-04",3,14,4.66666666666667
"P406","2013-12",3,14,4.66666666666667
"P530","2013-05",3,14,4.66666666666667
"P658","2014-06",18,84,4.66666666666667
"P658","2015-01",3,14,4.66666666666667
"P674","2013-08",27,126,4.66666666666667
"P725","2016-09",51,238,4.66666666666667
"P767","2014-02",6,28,4.66666666666667
"P823","2016-07",3,14,4.66666666666667
"P2522","2016-07",68,317,4.66176470588235
"P47","2016-09",655,3038,4.6381679389313
"P2093","2016-04",2801,12990,4.63762941806498
"P638","2016-02",853,3939,4.61781946072685
"P2093","2016-08",5030,23201,4.61252485089463
"P639","2015-10",28805,132525,4.60076375629231
"P924","2015-12",5,23,4.6
"P2321","2016-10",7,32,4.57142857142857
"P699","2015-01",7,32,4.57142857142857
"P47","2014-05",5162,23552,4.56257264626114
"P47","2013-04",248,1131,4.56048387096774
"P674","2016-07",9,41,4.55555555555556
"P725","2014-11",27,123,4.55555555555556
"P802","2014-08",9,41,4.55555555555556
"P2093","2016-02",2550,11603,4.55019607843137
"P9","2015-04",1128,5110,4.53014184397163
"P2175","2016-04",1155,5204,4.50562770562771
"P121","2013-03",133,599,4.50375939849624
"P1072","2014-09",2,9,4.5
"P1308","2016-09",28,126,4.5
"P1383","2014-07",16,72,4.5
"P1547","2016-04",4,18,4.5
"P1594","2015-09",2,9,4.5
"P3103","2016-09",4,18,4.5
"P444","2013-06",2,9,4.5
"P520","2015-04",2,9,4.5
"P726","2016-05",8,36,4.5
"P738","2013-10",2,9,4.5
"P790","2015-10",2,9,4.5
"P915","2014-04",2,9,4.5
"P47","2013-12",736,3311,4.49864130434783
"P47","2014-03",131,589,4.49618320610687
"P150","2014-04",3025,13595,4.49421487603306
"P1029","2014-04",294,1321,4.49319727891156
"P637","2013-09",761,3416,4.48883048620237
"P150","2014-05",538,2412,4.48327137546468
"P2093","2016-05",30157,135040,4.47789899525815
"P737","2015-10",64,286,4.46875
"P435","2016-02",13,58,4.46153846153846
"P2239","2016-01",22,98,4.45454545454545
"P180","2014-06",485,2155,4.44329896907217
"P443","2015-05",310,1373,4.42903225806452
"P710","2015-11",274,1209,4.41240875912409
"P639","2014-08",111,489,4.40540540540541
"P2239","2016-03",5,22,4.4
"P2769","2016-05",5,22,4.4
"P1382","2014-10",8,35,4.375
"P704","2015-06",179,783,4.37430167597765
"P710","2015-01",83,362,4.36144578313253
"P180","2015-05",2453,10694,4.35955972278842
"P2472","2016-01",29,126,4.3448275862069
"P1114","2016-08",6,26,4.33333333333333
"P1283","2014-06",3,13,4.33333333333333
"P1346","2016-10",12,52,4.33333333333333
"P2176","2016-09",6,26,4.33333333333333
"P358","2014-02",3,13,4.33333333333333
"P610","2014-07",6,26,4.33333333333333
"P680","2015-02",3,13,4.33333333333333
"P704","2014-12",3,13,4.33333333333333
"P725","2016-03",15,65,4.33333333333333
"P1383","2014-06",3183,13772,4.32673578385171
"P629","2015-07",182,786,4.31868131868132
"P161","2013-04",858,3703,4.31585081585082
"P726","2015-04",19,82,4.31578947368421
"P705","2013-12",300,1291,4.30333333333333
"P637","2013-12",153,658,4.30065359477124
"P54","2013-04",47856,205523,4.29461300568372
"P1198","2015-11",7,30,4.28571428571429
"P1215","2014-07",7,30,4.28571428571429
"P1283","2014-08",7,30,4.28571428571429
"P1383","2015-05",7,30,4.28571428571429
"P2789","2016-06",14,60,4.28571428571429
"P2860","2016-06",1073,4596,4.28331780055918
"P527","2015-10",962,4119,4.28170478170478
"P161","2013-12",102,436,4.27450980392157
"P528","2014-01",42,179,4.26190476190476
"P1308","2015-04",4,17,4.25
"P190","2014-05",40,170,4.25
"P2300","2016-05",4,17,4.25
